id;calle_principal;calle_secundaria;latitud;altitud;longitud
1;Increible e-markets IB;Web Interacciones;Pizza payment Moda;Cuban;HDD
2;Cuentas;canal;Verde Global;Card Franc Cliente;payment Nacional
3;Algodón invoice regional;invoice;bluetooth Borders impactful;payment turn-key Programa;enable digital Práctico
4;THX;Gerente Loan Masía;Raton programming;Nacional Representante;Guapa Guantes dedicada
5;Account reinvent;definición supply-chains;Shilling;Guapo;Sorprendente services
6;Metal Hormigon motivadora;de Mancha Azul;Pelota;input Guinea;digital
7;algoritmo;Gerente Pequeño Personal;Artesanal array SMTP;web;Borders Pequeño B2B
8;Técnico Blanco;modular;Seguridada feed Blanco;relationships;Oficial
9;Sabroso Rojo;Andalucía Inteligente architectures;Juguetería Algodón;Organizado Electrónica Irlanda;Checking
10;Profundo;synthesize Bangladesh;Acero mobile;proporciona;Morado hard SDD
